ID|First_Name|Last_Name|Email
1|Akshay|Agrawal|00000001@CSUBS.edu
2|Marcos|Aguilar|00000002@CSUBS.edu
3|John|Ajao|00000003@CSUBS.edu
4|Ernest|Alexander|00000004@CSUBS.edu
5|Jennifer|Alvarez|00000005@CSUBS.edu
6|Kristin|Antelman|00000006@CSUBS.edu
7|B|Arriaga|00000007@CSUBS.edu
8|Natalee|Bell|00000008@CSUBS.edu
9|Yolanda|Blue|00000009@CSUBS.edu
10|Thomas|Brittnacher|00000010@CSUBS.edu
11|Julien|Brun|00000011@CSUBS.edu
12|Amber|Budden|00000012@CSUBS.edu
13|Catherine|Busselen|00000013@CSUBS.edu
14|Joyce|Campbell|00000014@CSUBS.edu
15|Juliana|Castro-Osorio|00000015@CSUBS.edu
16|Ling|Chan|00000016@CSUBS.edu
17|Selena|Chau|00000017@CSUBS.edu
18|Lucely|Chavez|00000018@CSUBS.edu
19|Angela|Chikowero|00000019@CSUBS.edu
20|Chad|Christensen|00000020@CSUBS.edu
21|Cristina|Clarke|00000021@CSUBS.edu
22|gerardo|gary|00000022@CSUBS.edu
23|Michael|Craig|00000023@CSUBS.edu
24|Maricel|Cruz|00000024@CSUBS.edu
25|Renata|Curty|00000025@CSUBS.edu
26|Angel|Diaz|00000026@CSUBS.edu
27|Alex|Dunn|00000027@CSUBS.edu
28|Eric|Ederer|00000028@CSUBS.edu
29|Seth|Erickson|00000029@CSUBS.edu
30|Andrew|Espinoza|00000030@CSUBS.edu
31|Jane|Faulkner|00000031@CSUBS.edu
32|Luke|Flanagan|00000032@CSUBS.edu
33|Katherine|Furman|00000033@CSUBS.edu
34|Helena|Gagnon|00000034@CSUBS.edu
35|David|Gartrell|00000035@CSUBS.edu
36|Al|Garza|00000036@CSUBS.edu
37|Mallory|Gianola|00000037@CSUBS.edu
38|Cary|Ginell|00000038@CSUBS.edu
39|Kitty|Graae|00000039@CSUBS.edu
40|Rebecca|Greer|00000040@CSUBS.edu
41|Samuel|Gritt|00000041@CSUBS.edu
42|Alan|Grosenheider|00000042@CSUBS.edu
43|Campbell|Hannan|00000043@CSUBS.edu
44|Andrew|Harman|00000044@CSUBS.edu
45|Caleb|Hawkins|00000045@CSUBS.edu
46|David|Hendlin|00000046@CSUBS.edu
47|Amanda|Higham|00000047@CSUBS.edu
48|Jeremy|Hobbs|00000048@CSUBS.edu
49|Terry|Hori|00000049@CSUBS.edu
50|Chuck|Huber|00000050@CSUBS.edu
51|Joanna|Hui|00000051@CSUBS.edu
52|Christina|Hwang|00000052@CSUBS.edu
53|Jon|Jablonski|00000053@CSUBS.edu
54|Greg|Jan�e|00000054@CSUBS.edu
55|Vaiva|Janusoniene|00000055@CSUBS.edu
56|Vessela|Jivkova|00000056@CSUBS.edu
57|Erika|Johnson|00000057@CSUBS.edu
58|Cathy|Jones|00000058@CSUBS.edu
59|Charis|Jones|00000059@CSUBS.edu
60|Lynn|Jurgensen|00000060@CSUBS.edu
61|Marti|Kallal|00000061@CSUBS.edu
62|Sara|Kelly|00000062@CSUBS.edu
63|Margaret|Kibi|00000063@CSUBS.edu
64|Temmo|Korisheli|00000064@CSUBS.edu
